Index;Element;X;Y;Z;FragmentID
43;H;133.43353656310165;109.6619070682271;105.30494377583865;1
44;H;132.5006378927808;110.9184104845979;106.14529796746513;1
45;C;132.6283231754983;108.68828095187209;107.7634718284906;1
46;H;130.79593007375897;109.20098533074751;106.76254220541063;1
47;H;131.74589070282815;107.96243529616375;105.9318413039502;1
48;C;132.00778105372882;107.6202515894773;108.66751817575955;1
49;H;133.6460833698443;108.39524527328714;107.50028594996387;1
50;H;132.6762742852067;109.63134532431594;108.31272358873426;1
51;C;130.63791901760433;108.07581992254984;109.12886737651597;1
52;H;131.92837521542722;106.66929710027873;108.14213412475316;1
53;H;132.64196139478088;107.48834252547141;109.54546700931246;1
54;N;129.62331253889928;107.30619101677698;108.73903614961543;1
55;C;128.243806119233;107.56965909854313;109.089805971718;2
56;H;129.81674869733806;106.445862322569;108.23339116912129;1
57;O;131.40198812002018;109.25427007183784;103.54880554340077;1
58;C;127.49582369988784;106.26214446370541;109.3175323518736;2
59;H;128.24067486317722;108.19058992783324;109.9906905357636;2
